timeIdx,timeIdx,endDate,hPres,lPres,nProf,psalMean,psalStd,startDate,tempMean,tempStd,depthMin,depthMax,depthIdx
0,0,2018-02-03,10,0,68,36.60229396820069,0.13343548746688805,2018-01-01,18.43920581481036,0.7539609107963985,0,10,0
1,1,2018-03-09,10,0,79,36.43373465236229,0.111500695966469,2018-02-04,16.781455679784848,0.6122660720535917,0,10,0
2,2,2018-04-11,10,0,83,36.42751804030085,0.1509997622180523,2018-03-10,17.04413254289742,0.8413740240252949,0,10,0
3,3,2018-05-14,10,0,16,36.33437490463257,0.23570118276814064,2018-04-12,17.047250032424927,1.4213835890725657,0,10,0
0,0,2018-02-03,20,10,68,36.60183788748349,0.18372818624520906,2018-01-01,18.530264742234174,0.9813859119979382,10,20,1
1,1,2018-03-09,20,10,102,36.421873055252384,0.14805266432569067,2018-02-04,16.79677449020685,0.7938653072510409,10,20,1
2,2,2018-04-11,20,10,137,36.42734310400747,0.17491167231289365,2018-03-10,17.030226296752037,0.9712580067789878,10,20,1
3,3,2018-05-14,20,10,36,36.342277950710724,0.24006151466718534,2018-04-12,16.933916595247055,1.3722158678211078,10,20,1
0,0,2018-02-03,30,20,31,36.56438692154423,0.11494718143775468,2018-01-01,18.383129119873047,0.6231606962367965,20,30,2
1,1,2018-03-09,30,20,43,36.45144209750863,0.09447921538821187,2018-02-04,16.975046379621638,0.5066079852729968,20,30,2
2,2,2018-04-11,30,20,52,36.438345835759094,0.10405287895924388,2018-03-10,17.040903880045963,0.577176377522606,20,30,2
3,3,2018-05-14,30,20,5,36.41679992675781,0.2900437668713245,2018-04-12,17.076200103759767,1.47903106765323,20,30,2
0,0,2018-02-03,40,30,28,36.55860710144043,0.1181293865765555,2018-01-01,18.3581429209028,0.6454904866525198,30,40,3
1,1,2018-03-09,40,30,44,36.45297674699263,0.09761350918850588,2018-02-04,16.973045457493175,0.5142378547845573,30,40,3
2,2,2018-04-11,40,30,54,36.44781480012117,0.1138560638388494,2018-03-10,17.074481522595438,0.6369587267953054,30,40,3
3,3,2018-05-14,40,30,7,36.50071389334543,0.2738409274690259,2018-04-12,17.399285997663224,1.3987246041269736,30,40,3
0,0,2018-02-03,50,40,32,36.564780950546265,0.11608737442712674,2018-01-01,18.375343739986423,0.6192996195189363,40,50,4
1,1,2018-03-09,50,40,41,36.44102394290087,0.08978340860717354,2018-02-04,16.905805006259826,0.4810571430144034,40,50,4
2,2,2018-04-11,50,40,49,36.43259165238361,0.09942760050126773,2018-03-10,16.981020363009705,0.5622784594905971,40,50,4
3,3,2018-05-14,50,40,5,36.41360015869141,0.28337043598392064,2018-04-12,16.945000076293944,1.4764076085493616,40,50,4
0,0,2018-02-03,60,50,30,36.55963274637858,0.11144387810585404,2018-01-01,18.351266860961914,0.6073754699912168,50,60,5
1,1,2018-03-09,60,50,43,36.43911592350449,0.0846892467027148,2018-02-04,16.892581229986146,0.4568130466338325,50,60,5
2,2,2018-04-11,60,50,52,36.440211882958046,0.10794582390253407,2018-03-10,17.000942266904392,0.5956839030911371,50,60,5
3,3,2018-05-14,60,50,5,36.40759963989258,0.2813013627480756,2018-04-12,16.906600189208984,1.460732915027096,50,60,5
0,0,2018-02-03,70,60,29,36.559654762004975,0.11012802270168197,2018-01-01,18.34393113234948,0.6075595560674841,60,70,6
1,1,2018-03-09,70,60,41,36.44419479370117,0.0923278755604837,2018-02-04,16.9100242475184,0.4888081100155957,60,70,6
2,2,2018-04-11,70,60,51,36.433058720009,0.10411736383920138,2018-03-10,16.96052934609207,0.5731118191928709,60,70,6
3,3,2018-05-14,70,60,5,36.392000579833976,0.27232287841472896,2018-04-12,16.836000061035158,1.4158379665007228,60,70,6
0,0,2018-02-03,80,70,30,36.55889956156413,0.11125634623847444,2018-01-01,18.355566914876302,0.6248359672110364,70,80,7
1,1,2018-03-09,80,70,40,36.442324638366706,0.0934573224985967,2018-02-04,16.901375102996827,0.4918238367636218,70,80,7
2,2,2018-04-11,80,70,50,36.43309997558594,0.1044039486988783,2018-03-10,16.951880168914794,0.5699124036856056,70,80,7
3,3,2018-05-14,80,70,4,36.29225063323975,0.21478645833230525,2018-04-12,16.363750219345093,1.195975908682776,70,80,7
0,0,2018-02-03,90,80,32,36.55440557003021,0.11003829735188353,2018-01-01,18.3317813873291,0.5988638172768643,80,90,8
1,1,2018-03-09,90,80,39,36.44261570465871,0.09468879344686093,2018-02-04,16.898615372486606,0.4968852949602005,80,90,8
2,2,2018-04-11,90,80,52,36.43053869100717,0.10200918554587016,2018-03-10,16.93807684458219,0.5532108954739393,80,90,8
3,3,2018-05-14,90,80,6,36.400665918986,0.24633247368370614,2018-04-12,16.864166895548507,1.2507847782152064,80,90,8
0,0,2018-02-03,100,90,28,36.49442795344761,0.13209895393508825,2018-01-01,17.999928542545863,0.6395276043598086,90,100,9
1,1,2018-03-09,100,90,43,36.44744243178257,0.09540539788286154,2018-02-04,16.92337220214134,0.4939325843611706,90,100,9
2,2,2018-04-11,100,90,49,36.423979934380974,0.0988986220427847,2018-03-10,16.89504078456334,0.5436634314731295,90,100,9
3,3,2018-05-14,100,90,5,36.33619918823242,0.22138671974450627,2018-04-12,16.532999801635743,1.1257399220331636,90,100,9
