timeIdx,0,startDate,10,20,30,40,50,60,70,80,90
0,17.16349983215332,2004-01-01,17.137666702270508,17.127000172932938,17.122333526611328,17.116666158040367,17.085333506266274,17.039666493733726,16.984666188557938,16.83799997965495,16.55999978383382
1,17.15524983406067,2004-02-04,17.03225040435791,17.006499767303467,16.961750030517578,16.91225004196167,16.861749649047848,16.794250011444092,16.767000198364258,16.650750160217285,16.523499965667725
2,17.302000045776367,2004-03-09,17.124000549316403,17.025333404541016,16.929000218709312,16.789750099182132,16.7357497215271,16.669250011444092,16.756799697875973,16.702999877929688,16.580000114440914
3,17.506999969482422,2004-04-12,17.124555587768555,17.1000001695421,17.04655541314019,16.98300001356337,16.920888900756836,16.81011125776503,16.737333403693302,16.669111251831055,16.575333277384438
4,18.605000178019207,2004-05-15,18.38300005594889,17.914000193277996,17.56488863627116,17.295555538601345,17.043333265516495,16.8413331773546,16.705999904208714,16.540555318196613,16.39577802022298
5,21.718333562215165,2004-06-17,21.070333268907333,20.22355545891656,18.97224998474121,18.11050009727478,17.644875049591068,17.354250192642212,17.146875143051147,17.02585710797991,16.853143010820663
6,23.586833318074547,2004-07-20,22.97736323963512,22.224999687888406,21.175818183205344,19.75409108942205,18.351454648104585,17.704727519642226,17.249909140846945,17.042000007629394,16.855800056457518
7,22.687833468119308,2004-08-22,23.31388897365994,23.053222020467118,22.342000113593212,20.522222095065647,18.793222215440537,17.86122237311469,17.347777472601994,16.98211118910048,16.714444478352867
8,21.62974977493286,2004-09-24,22.510374784469604,22.68914304460798,22.646285738263806,22.324625253677368,21.21975040435791,19.648499965667728,18.18050026893616,17.525750160217285,17.008124947547913
9,19.39716688791911,2004-10-27,20.476999976418234,20.48027298667214,20.475727081298828,20.42572715065696,19.87118183482777,19.06509104642001,18.27636380629106,17.443636374040082,16.817636316472832
10,16.936749458312992,2004-11-29,17.971749782562252,17.975500106811523,17.978125095367428,17.978999853134155,18.17528588431222,18.132714135306227,17.785875082015988,17.498749732971188,16.998125076293945
11,16.036499857902527,2005-01-01,16.613499927520753,16.62720012664795,16.680111037360295,16.68155574798584,16.683333396911618,16.674333148532444,16.665889104207356,16.772375106811527,16.74887502193451
12,15.470666567484535,2005-02-04,15.893222490946453,15.889111095004614,15.890111181471086,15.89099989997016,15.892111142476402,15.895110978020561,15.894222047593859,15.894222259521484,15.894222259521484
13,16.279000123341874,2005-03-10,16.09724998474121,15.961250066757202,15.845750212669373,15.632749915122984,15.583624720573425,15.497125029563904,15.427000045776367,15.354124903678894,15.314375042915346
14,17.466999689737953,2005-04-12,17.00830011367798,16.732090863314546,16.426399993896485,16.1937273198908,15.934545690363104,15.587818059054287,15.36099997433749,15.226600074768069,15.098400020599366
15,18.69083309173584,2005-05-15,18.670083522796627,18.518500010172527,18.10583289464315,17.501166502634685,16.683833360671994,16.20383342107137,15.897833426793413,15.666416883468628,15.477249940236412
16,20.58449935913086,2005-06-17,20.51222250196669,20.143111122979054,19.214444478352863,18.052666982014973,16.919888708326553,16.279444164699978,15.86699994405111,15.614888932969835,15.45455551147461
17,22.374166170756027,2005-07-20,22.281444549560547,21.953500032424927,21.2024998664856,19.732777913411454,18.585222032335068,17.508889092339412,16.653333452012802,16.081777572631836,15.684333377414278
18,22.70233313242595,2005-08-22,22.42744445800781,22.20666652255588,21.339999940660263,19.798555798000763,18.495444721645782,17.540666792127823,16.765888532002766,16.274889204237198,16.007666799757217
19,20.81971889734268,2005-09-24,21.00413634560325,20.879545298489656,20.356500018726692,19.370045488530934,18.141727274114434,17.126181905919854,16.40204551003196,15.960142816816056,15.679727467623625
20,19.651653803311863,2005-10-27,19.927374720573425,19.91737508773804,19.87418758869171,19.434812784194946,18.443500161170963,17.078812539577484,16.529937505722046,16.020333290100098,15.624812424182892
21,16.956222428215877,2005-11-29,17.591916561126713,17.616000248835636,17.58608341217041,17.577250162760418,17.50392297598032,17.101307502159706,17.06205884148093,16.195550155639648,15.61761114332411
22,15.802807624523457,2006-01-01,16.29558826895321,16.29764713960535,16.292882302228147,16.294529353871063,16.29017650379854,16.289352977977078,16.23000004417018,16.175210450824938,16.161222087012398
23,15.094571420124598,2006-02-04,15.43870594922234,15.429705900304455,15.43278950139096,15.42658822676715,15.420941296745749,15.404473706295613,15.39833328458998,15.39547348022461,15.39894115223604
24,15.634874979654946,2006-03-10,15.84172217051188,15.692000037745427,15.541318156502463,15.594562590122225,15.485117687898526,15.468562424182892,15.390000118928794,15.302388932969835,15.26777776082357
25,16.895750045776367,2006-04-12,16.92068204012784,16.617999920478233,16.470681884072043,16.16876928622906,15.837129131440193,15.597333240509036,15.419821330479213,15.265178680419922,15.116923112135668
26,19.25458327929179,2006-05-15,18.962000211079914,18.366611268785263,17.74822213914659,17.333777639600967,16.897833506266274,16.528722233242462,16.251444339752194,16.053388807508682,15.797999911838106
27,20.36791658401489,2006-06-17,20.354888916015625,19.702777862548828,18.720055474175343,17.796499782138397,17.16094446182251,16.720555517408584,16.379222340053982,16.099833276536728,15.893111175960966
28,21.952749797276088,2006-07-20,21.89995427565141,20.966045553034004,19.52990904721347,18.231454502452504,17.24636346643621,16.50454551523382,16.088590882041238,15.828545527024705,15.61795460094105
29,22.40714291163853,2006-08-22,22.514866511027023,22.358999797276088,21.000799846649173,18.77668181332675,17.326899909973143,16.533999894794665,16.152444150712753,16.027562618255615,15.770294133354636
30,22.095566622416182,2006-09-24,22.22571418398903,22.099043555881668,21.880000046321324,20.754857199532644,19.243100039164226,17.53590895912864,16.617486567110628,15.984399922688803,15.715607030051096
